company,data_point,scope,report_field,page,source
Hindalco,No Of Authorised Equity Shares,Consolidated,Authorized Equity Shares of ` 1/- each,292,pipeline
Hindalco,No Of Issued Equity Shares,Standalone,Issued Equity Shares of ` 1/- each - (a),369,pipeline
Hindalco,No Of Issued Equity Shares,Consolidated,Issued Equity Shares of ` 1/- each - (a),292,pipeline
Hindalco,No Of Subscribed Equity Shares Fully Paid,Standalone,Note 10 - Subscribed and Paid-up Equity Shares of Re 1 each,369,page-verified
Hindalco,No Of Subscribed Equity Shares Fully Paid,Consolidated,Subscribed and Paid-up Equity Shares,292,page-verified
Hindalco,No Of Paid up Equity Shares,Standalone,Subscribed and Paid-up,369,pipeline
Hindalco,No Of Paid up Equity Shares,Consolidated,Subscribed and Paid-up,292,pipeline
Hindalco,Number of shares outstanding at beginning of period,Standalone,Equity shares outstanding at the beginning of the year,370,pipeline
Hindalco,Number of shares outstanding at beginning of period,Consolidated,Equity Shares outstanding at the beginning of the year,292,pipeline
Hindalco,No Of Shares Increase Towards Stock Split,Standalone,,,Not disclosed
Hindalco,No Of Shares Increase Towards Stock Split,Consolidated,,,Not disclosed
Hindalco,No Of Shares bought back or treasury shares,Standalone,Note 10 - Less: Treasury Shares (b)(i)+(b)(ii),369,page-verified
Hindalco,No Of Shares bought back or treasury shares,Consolidated,Equity Shares - (b)(ii),292,pipeline
Hindalco,Equity attributable to the equity holders of the parent,Consolidated,Equity attributable to owners of the Company,257,pipeline
Hindalco,Share Depreciation Joint ventures,Consolidated,,,Not disclosed
Hindalco,Total Power & Fuel Expenses,Standalone,Power and Fuel,344,pipeline
Hindalco,Total Power & Fuel Expenses,Consolidated,Power and fuel,258,pipeline
Hindalco,Consumption Of Stores And Spare Parts,Standalone,Consumption of Stores and Spares,388,pipeline
Hindalco,Consumption Of Stores And Spare Parts,Consolidated,Consumption of Stores and Spares,316,pipeline
Hindalco,Brokerage/Commission To Agents,Standalone,,,Not disclosed
Hindalco,Brokerage/Commission To Agents,Consolidated,,,Not disclosed
Hindalco,Carriage Outwards,Standalone,Freight and Forwarding Expenses (Net) - (b),388,pipeline
Hindalco,Carriage Outwards,Consolidated,Freight and Forwarding Expenses (Net) - (b),316,pipeline
Hindalco,Legal & Professional Charges,Standalone,,,Not disclosed
Hindalco,Legal & Professional Charges,Consolidated,,,Not disclosed
Hindalco,Payments To Auditor,Standalone,Payment to Auditors - (a),388,pipeline
Hindalco,Payments To Auditor,Consolidated,Note 24 Other expenses - Payments to Auditors,316,page-verified
Hindalco,Payment for reimbursement of expenses,Standalone,Reimbursement of Out-of-Pocket Expenses,388,pipeline
Hindalco,Payment for reimbursement of expenses,Consolidated,Reimbursement of expenses to,304,pipeline
Hindalco,Donations Subscriptions,Standalone,,,Not disclosed
Hindalco,Donations Subscriptions,Consolidated,,,Not disclosed
Hindalco,CSR Expenditure,Standalone,Amount spent during the year - b) On purposes other than (a) above,403,pipeline
Hindalco,CSR Expenditure,Consolidated,,,Not disclosed
Hindalco,Impairment loss on financial assets loans and advances,Standalone,Reconciliation of Provision - Impairment losses recognised on receivables,402,page-verified
Hindalco,Impairment loss on financial assets loans and advances,Consolidated,Note 23 - Impairment loss/(reversal) on financial assets (net),316,page-verified
Hindalco,Provision Bad Doubtful Loans Advances,Standalone,,,Not disclosed
Hindalco,Provision Bad Doubtful Loans Advances,Consolidated,,,Not disclosed
Hindalco,Bad Debts Advances Written Off,Standalone,,,Not disclosed
Hindalco,Bad Debts Advances Written Off,Consolidated,,,Not disclosed
Hindalco,Interest Expense Borrowings,Standalone,,,Not disclosed
Hindalco,Interest Expense Borrowings,Consolidated,,,Not disclosed
Hindalco,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Standalone,"Changes in inventories of Finished Goods, Work-in-Progress and Stock-in-Trade",369,pipeline
Hindalco,"Total Changes In Inventories Of Finished Goods, Work-In-Progress And Stock-In-Trade",Consolidated,"Changes in inventories of finished goods, work-in-progress and stock-in-trade",258,pipeline
Hindalco,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Standalone,,,Not disclosed
Hindalco,Deferred Tax Assets (Net)_Deferred tax liabilities_Accumulated Depreciation,Consolidated,PPE Depreciation and Intangible Amortisation,287,pipeline
Hindalco,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Standalone,Retirement Benefits and Compensated Absences,367,pipeline
Hindalco,Deferred Tax Liability (Net)_Deferred Tax Assets_Leave Encashment,Consolidated,Retirement Benefits and Compensated Absences,288,pipeline
Reddy,Share Premium,Standalone,Securities premium(2),127,pipeline
Reddy,Share Premium,Consolidated,SOCIE - Securities premium (closing),178,page-verified
Reddy,Hedging Reserve,Standalone,Cash flow hedge reserve(7),127,pipeline
Reddy,Hedging Reserve,Consolidated,SOCIE - Cash flow hedge reserve (closing),178,page-verified
Reddy,Non Current Investments_Unquoted Debentures/Bonds,Standalone,Investment in Non-convertible debentures of Dr. Reddy's Laboratories Inc.,141,page-verified
Reddy,Non Current Investments_Unquoted Debentures/Bonds,Consolidated,Investment in bonds,194,pipeline
Reddy,Non Current Investments_Joint Venture/Partnerships,Standalone,Investment in partnership firms (ABCD Technologies LLP),140,page-verified
Reddy,Non Current Investments_Joint Venture/Partnerships,Consolidated,Total Investment in equity accounted investees,193,page-verified
Reddy,Gross Carrying Value_Furnitures & Fixtures,Standalone,"Furniture, fixtures and office equipment",137,pipeline
Reddy,Gross Carrying Value_Furnitures & Fixtures,Consolidated,"Furniture, fixtures and office equipment",189,pipeline
Reddy,Gross Carrying Value_Office Equipments,Standalone,"Furniture, fixtures and office equipment",137,pipeline
Reddy,Gross Carrying Value_Office Equipments,Consolidated,"Furniture, fixtures and office equipment",189,pipeline
Reddy,Accumulated Depreciation_Furnitures & Fixtures,Standalone,"Note 2.1 PP&E - Furniture, fixtures & office equipment (combined) - Accum dep closing",137,page-verified
Reddy,Accumulated Depreciation_Furnitures & Fixtures,Consolidated,"Note 2.1 PP&E - Furniture, fixtures & office equipment (combined) - Accum dep closing",189,page-verified
Reddy,Accumulated Depreciation_Office Equipments,Standalone,"Furniture, fixtures and office equipment",137,pipeline
Reddy,Accumulated Depreciation_Office Equipments,Consolidated,"Furniture, fixtures and office equipment",189,pipeline
Reddy,Other CWIP,Standalone,,,Not disclosed
Reddy,Other CWIP,Consolidated,,,Not disclosed
Reddy,Gross Investment Property,Standalone,,,Not disclosed
Reddy,Gross Investment Property,Consolidated,,,Not disclosed
Reddy,Loss On Disposal Of Fixed Asset,Standalone,"Other expenses - Loss/(Profit) on sale/disposal of assets, net",169,page-verified
Reddy,Loss On Disposal Of Fixed Asset,Consolidated,,,Not disclosed
Reddy,Fixed Assets Written Off,Standalone,,,Not disclosed
Reddy,Fixed Assets Written Off,Consolidated,,,Not disclosed
Reddy,Sundry Creditors,Standalone,Trade payables,145,pipeline
Reddy,Sundry Creditors,Consolidated,Trade payables,199,pipeline
Reddy,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Standalone,,,Not disclosed
Reddy,Noncurrent Borrowings_Unsecured Loans_Loans and advances from others,Consolidated,,,Not disclosed
Reddy,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Standalone,,,Not disclosed
Reddy,"Noncurrent Borrowings_Secured Loans_Deferred payment for acquisition of property, plant and equipment",Consolidated,,,Not disclosed
Reddy,Current Borrowings_Unsecured Loans_Subordinated debts,Standalone,,,Not disclosed
Reddy,Current Borrowings_Unsecured Loans_Subordinated debts,Consolidated,,,Not disclosed
Reddy,Other Noncurrent Liabilities_Other Long Term Liabilities,Standalone,Standalone BS - Other non-current liabilities (Note 2.12A),126,page-verified
Reddy,Other Noncurrent Liabilities_Other Long Term Liabilities,Consolidated,Other non-current liabilities,201,pipeline
Reddy,Other Noncurrent Liabilities_Total Long Term Liabilities,Standalone,Standalone BS - Total non-current liabilities,126,page-verified
Reddy,Other Noncurrent Liabilities_Total Long Term Liabilities,Consolidated,Other non-current liabilities,176,pipeline
Reddy,Other Current Liabilities_Revenue received in advance,Standalone,Advance from customers,147,pipeline
Reddy,Other Current Liabilities_Revenue received in advance,Consolidated,Advance from customers,202,pipeline
Reddy,Other Current Liabilities_Accrued Salary Payable,Standalone,,,Not disclosed
Reddy,Other Current Liabilities_Accrued Salary Payable,Consolidated,,,Not disclosed
Reddy,Other Current Liabilities_Employees Stock Options Outstanding,Standalone,,,Not disclosed
Reddy,Other Current Liabilities_Employees Stock Options Outstanding,Consolidated,,,Not disclosed
Reddy,Short Term Loans And Advances_Other Deposit Assets,Standalone,Other assets,142,pipeline
Reddy,Short Term Loans And Advances_Other Deposit Assets,Consolidated,Other assets(1),195,pipeline
Reddy,Short Term Loans And Advances_Advances to related parties,Standalone,Dues from related parties (refer note 2.24),142,pipeline
Reddy,Short Term Loans And Advances_Advances to related parties,Consolidated,Dues from other related parties (Refer note 2.25),195,pipeline
Reddy,Short Term Loans And Advances_Allowance for bad and doubtful loans,Standalone,Less: Allowance for doubtful loans and advances,141,pipeline
Reddy,Short Term Loans And Advances_Allowance for bad and doubtful loans,Consolidated,Less: Allowance for doubtful advances,195,pipeline
Reddy,Other Current Assets_Advances to related parties,Standalone,Dues from related parties (Refer note 2.24),141,pipeline
Reddy,Other Current Assets_Advances to related parties,Consolidated,,,Not disclosed
Reddy,Other Current Assets_Advances given suppliers,Standalone,,,Not disclosed
Reddy,Other Current Assets_Advances given suppliers,Consolidated,,,Not disclosed
Reddy,Other Current Assets_Export incentives receivables,Standalone,Government incentives receivable(2),142,pipeline
Reddy,Other Current Assets_Export incentives receivables,Consolidated,Government incentives receivable(2),195,pipeline
Reddy,Other Current Assets_Less : Doubtful Advances,Standalone,Less: Allowance for doubtful advances,141,pipeline
Reddy,Other Current Assets_Less : Doubtful Advances,Consolidated,Less: Allowance for doubtful advances,195,pipeline
Reddy,Authorised Equity Share Capital,Standalone,Authorised share capital,143,pipeline
Reddy,Authorised Equity Share Capital,Consolidated,Authorised share capital,196,pipeline
Reddy,Equity Issued,Standalone,Issued equity capital**,143,pipeline
Reddy,Equity Issued,Consolidated,Issued equity capital**,196,pipeline
Reddy,Equity Subscribed fully paid,Standalone,Note 2.9 - Subscribed and fully paid-up (Rs),143,page-verified
Reddy,Equity Subscribed fully paid,Consolidated,Subscribed and fully paid-up,196,page-verified
Reddy,Equity Forfeited,Standalone,,,Not disclosed
Reddy,Equity Forfeited,Consolidated,,,Not disclosed
Reddy,Equity Paid Up,Standalone,Subscribed and fully paid-up**,143,pipeline
Reddy,Equity Paid Up,Consolidated,Equity share capital,196,pipeline
Reddy,Face Value of Share (in Rs),Standalone,par value / face value of equity shares,143,pipeline
Reddy,Face Value of Share (in Rs),Consolidated,par value,196,pipeline
Reddy,No Of Authorised Equity Shares,Standalone,"1,450,000,000 equity shares of ` 1/- each (March 31, 2024: 290,000,000 equity shares of ` 5/ each**)",143,pipeline
Reddy,No Of Authorised Equity Shares,Consolidated,"1,450,000,000 equity shares of ` 1/- each (March 31, 2024: 290,000,000 equity shares of ` 5/ each)",196,pipeline
Reddy,No Of Issued Equity Shares,Standalone,Issued equity capital**,143,pipeline
Reddy,No Of Issued Equity Shares,Consolidated,Closing number of equity shares/share capital **,196,pipeline
Reddy,No Of Subscribed Equity Shares Fully Paid,Standalone,Note 2.9 - Subscribed and fully paid-up (no. of shares),143,page-verified
